Start,14:11:39.317
Stop,14:11:39.516
Stop,14:11:39.716
Stop,14:11:39.916
Stop,14:11:40.116
Stop,14:11:40.316
Stop,14:11:40.518
Stop,14:11:40.717
Stop,14:11:40.917
Stop,14:11:41.117
Stop,14:11:41.318
Stop,14:11:41.518
Stop,14:11:41.718
Stop,14:11:41.918
Stop,14:11:42.118
Stop,14:11:42.325
Stop,14:11:42.520
Stop,14:11:42.720
Stop,14:11:44.329
Stop,14:11:44.522
Stop,14:11:44.722
Stop,14:11:44.922
Stop,14:11:45.122
Stop,14:11:45.322
Stop,14:11:45.523
Stop,14:11:45.723
Stop,14:11:45.924
Stop,14:11:46.123
Stop,14:11:46.324
Stop,14:11:46.524
Stop,14:11:46.724
Stop,14:11:46.925
Stop,14:11:47.125
Stop,14:11:47.325
Stop,14:11:47.526
Stop,14:11:47.726
Stop,14:11:47.927
Stop,14:11:48.127
Stop,14:11:48.327
Stop,14:11:48.528
Stop,14:11:48.728
Stop,14:11:48.929
Stop,14:11:49.128
Stop,14:11:49.329
Stop,14:11:49.530
Stop,14:11:49.730
Stop,14:11:49.931
Stop,14:11:50.130
Stop,14:12:20.357
Stop,14:12:20.557
Stop,14:12:20.757
Stop,14:12:20.957
Stop,14:12:21.157
Stop,14:12:21.357
Stop,14:12:22.559
Stop,14:12:22.759
Stop,14:12:22.960
Stop,14:12:23.160
Stop,14:12:23.360
Stop,14:12:23.560
Stop,14:12:23.761
Stop,14:12:23.962
Stop,14:12:24.161
Stop,14:12:24.370
Stop,14:12:24.562
Stop,14:12:24.762
Stop,14:12:24.962
Stop,14:12:25.163
Stop,14:12:25.363
Stop,14:12:25.563
Stop,14:12:25.763
Stop,14:12:25.964
Stop,14:12:26.164
Stop,14:12:26.365
Stop,14:12:26.565
Stop,14:12:26.765
Stop,14:12:26.965
Stop,14:12:27.167
Stop,14:12:27.367
Stop,14:12:27.567
Stop,14:12:27.767
Stop,14:12:27.968
Stop,14:12:28.169
Stop,14:12:28.368
Stop,14:12:28.570
Stop,14:12:28.770
Stop,14:12:28.970
Stop,14:12:29.170
